Scan type: APPLIED VOLTAGE;
Applied Voltage: 1.5;
Applied Duration: 10.0;
Creator: bla;
Label: black;
Composition: blo;
Date: Tue Jul 10 12:19:20 2018;
Light Intensity: ble;
Pixel: blu;
Voltage/ V, Current/ A, Time/ s;
-8.839488e-07,-3.734288e-08,13.051039;
-7.88481e-07,-3.71849e-08,13.13364;
-9.3173e-07,-3.721273e-08,13.216242;
-8.362404e-07,-3.710766e-08,13.298862;
-7.048657e-07,-3.713705e-08,13.381481999999998;
-6.810151e-07,-3.712103e-08,13.464092;
-9.078358e-07,-3.711728e-08,13.546703999999998;
-8.424104e-08,-3.716753e-08,13.629311999999999;
-6.571499e-07,-3.73047e-08,13.711911;
-7.765411e-07,-3.720616e-08,13.794512;
-8.95925e-07,-3.718907e-08,13.877129;
-3.110035e-07,-3.708517e-08,13.959741999999999;
-8.419738e-08,-3.713999e-08,14.04233;
-8.12397e-07,-3.723901e-08,14.124932;
-3.825044e-07,-3.724256e-08,14.207533999999999;
-3.945388e-07,-3.725783e-08,14.290147;
-1.916051e-07,-3.736772e-08,14.372768;
4.709727e-08,-3.752346e-08,14.455354;
-3.468158e-07,-3.756125e-08,14.537956999999999;
-6.452392e-07,-3.752189e-08,14.620566;
-4.900867e-07,-3.755337e-08,14.703176;
-4.781105e-07,-3.761071e-08,14.785779999999999;
-1.063003e-06,-3.759537e-08,14.868403;
-6.452537e-07,-3.759993e-08,14.951008999999999;
-1.337605e-06,-3.760048e-08,15.033607;
-4.303583e-07,-3.758256e-08,15.116235;
-6.213522e-07,-3.760476e-08,15.198825;
-6.81066e-07,-3.760567e-08,15.281441999999998;
-4.542599e-07,-3.766035e-08,15.364044;
-8.839488e-07,-3.774965e-08,15.446651;
-7.884955e-07,-3.773197e-08,15.529257999999999;
-1.325665e-06,-3.772966e-08,15.611857;
-8.95925e-07,-3.761733e-08,15.694474;
-1.086912e-06,-3.76335e-08,15.777072;
-2.154848e-07,-3.754287e-08,15.859689;
-1.122717e-06,-3.759226e-08,15.942288;
-5.497495e-07,-3.753918e-08,16.0249;
-9.3173e-07,-3.747865e-08,16.107499;
-4.781468e-07,-3.720722e-08,16.19011;
-5.735928e-07,-3.727023e-08,16.272709;
-1.080989e-07,-3.726433e-08,16.355316;
-9.078722e-07,-3.739599e-08,16.437907;
-1.11077e-06,-3.744714e-08,16.520518;
-9.675423e-07,-3.73788e-08,16.603136;
-6.810296e-07,-3.74663e-08,16.685736;
-6.094197e-07,-3.759815e-08,16.768348;
-4.900503e-07,-3.766424e-08,16.850949999999997;
-7.765484e-07,-3.776116e-08,16.933547;
-6.213668e-07,-3.778999e-08,17.016156;
-6.691043e-07,-3.771594e-08,17.098751;
-5.378388e-07,-3.758621e-08,17.181355;
-5.139445e-07,-3.768234e-08,17.263951;
-7.646377e-07,-3.771975e-08,17.346553999999998;
-4.423418e-07,-3.773108e-08,17.429157;
-1.086904e-06,-3.778165e-08,17.511763000000002;
-7.407652e-07,-3.765662e-08,17.594374000000002;
-1.265937e-06,-3.759725e-08,17.676971;
-7.40758e-07,-3.75398e-08,17.759579000000002;
-2.632441e-07,-3.755218e-08,17.8422;
-7.287963e-07,-3.755206e-08,17.924805;
-2.990564e-07,-3.766499e-08,18.007412000000002;
-3.348541e-07,-3.771675e-08,18.090024;
-1.50469e-06,-3.77596e-08,18.172620000000002;
-9.55617e-07,-3.76539e-08,18.255243999999998;
-5.735419e-07,-3.762733e-08,18.337853;
-4.661051e-07,-3.75995e-08,18.420462;
-6.332557e-07,-3.762964e-08,18.503058;
-6.452537e-07,-3.765104e-08,18.585665;
-7.168273e-07,-3.770193e-08,18.66827;
-1.12268e-06,-3.77341e-08,18.750871;
-8.959032e-07,-3.768363e-08,18.833489999999998;
-9.555806e-07,-3.766331e-08,18.916094;
