Scan type: APPLIED VOLTAGE;
Applied Voltage: 1.5;
Applied Duration: 10.0;
Creator: Ivan;
Label: Schotky;
Composition: N/A;
Date: Tue Jul 10 12:22:38 2018;
Light Intensity: N/A;
Pixel: N/A;
Voltage/ V, Current/ A, Time/ s;
-1.158216e-06,-4.887653e-10,12.235192;
-1.838649e-06,-4.774188e-10,12.31779;
-1.468601e-06,-4.446759e-10,12.400412999999999;
-1.003013e-06,-5.516796e-10,12.483025;
-1.30148e-06,-5.54298e-10,12.565617;
-1.623725e-06,-4.782226e-10,12.648225;
-2.829373e-06,-6.264401e-10,12.73083;
-1.170156e-06,-5.699884e-10,12.813428;
-2.089262e-06,-4.71114e-10,12.896028;
-3.581416e-06,-5.881621e-10,12.978644999999998;
-1.922192e-06,-6.935577e-10,13.061242;
-1.074724e-06,-4.660429e-10,13.143855;
-2.375775e-06,-5.711858e-10,13.226455999999999;
-2.65034e-06,-6.009175e-10,13.309057999999999;
-1.373119e-06,-5.494788e-10,13.391661;
-2.268403e-06,-5.132963e-10,13.474269;
-1.826724e-06,-5.458689e-10,13.556883999999998;
-1.743174e-06,-5.747552e-10,13.639482;
-1.110493e-06,-4.559874e-10,13.722091;
-6.091359e-07,-5.966499e-10,13.804691;
-2.56674e-06,-4.655963e-10,13.887282999999998;
-3.584719e-07,-5.232809e-10,13.969893999999998;
-1.647546e-06,-4.932964e-10,14.052480999999998;
-1.743138e-06,-5.027418e-10,14.135073;
-2.733883e-06,-5.176339e-10,14.217683;
-8.837233e-07,-5.103143e-10,14.300271;
-1.898305e-06,-5.921124e-10,14.382885;
-1.731176e-06,-3.475509e-10,14.465504999999999;
-2.077359e-06,-5.974012e-10,14.548103;
-1.599874e-06,-5.349444e-10,14.630714;
-2.71001e-06,-6.602395e-10,14.713332;
-2.877161e-06,-4.87298e-10,14.795921;
-8.479255e-07,-6.611028e-10,14.878509;
-2.85331e-06,-6.486937e-10,14.961125999999998;
-1.361179e-06,-4.263616e-10,15.043717;
-2.62649e-06,-7.699735e-10,15.126313999999999;
-9.791329e-07,-4.956564e-10,15.208910999999999;
-2.6384e-06,-6.65235e-10,15.291516;
-2.471344e-06,-4.728228e-10,15.374111999999998;
-1.206005e-06,-6.906346e-10,15.456736999999999;
-1.026965e-06,-4.789275e-10,15.539339;
-7.882045e-07,-4.123499e-10,15.621944999999998;
-2.160945e-06,-6.318583e-10,15.704547;
-1.078151e-07,-4.180555e-10,15.787152;
-1.850596e-06,-5.390772e-10,15.869741;
-2.33997e-06,-4.177619e-10,15.952357999999998;
-7.166018e-07,-6.168782e-10,16.034961;
-1.635737e-06,-3.669338e-10,16.117562000000003;
-1.683518e-06,-5.826974e-10,16.200164;
-1.862536e-06,-5.56112e-10,16.282775;
-5.136826e-07,-4.206912e-10,16.365367000000003;
-2.56679e-06,-6.593122e-10,16.447969;
-1.217937e-06,-4.309519e-10,16.530558000000003;
-1.540218e-06,-6.031775e-10,16.613167;
-1.217901e-06,-4.538799e-10,16.695781;
-1.504362e-06,-5.858137e-10,16.778373000000002;
-2.602632e-06,-5.261223e-10,16.860979;
-1.277651e-06,-5.530538e-10,16.943566;
-2.292276e-06,-6.610148e-10,17.026158000000002;
-2.721943e-06,-5.091342e-10,17.10878;
-2.984561e-06,-6.616308e-10,17.191382;
-1.170149e-06,-5.243609e-10,17.273970000000002;
-1.993838e-06,-6.06365e-10,17.356576;
-2.01771e-06,-4.594273e-10,17.439184;
-1.232547e-08,-5.082363e-10,17.521794000000003;
-1.647692e-06,-6.009354e-10,17.604378;
-1.564084e-06,-3.823306e-10,17.686999000000004;
-2.017725e-06,-6.302853e-10,17.769602000000003;
-1.910274e-06,-5.998081e-10,17.852203;
-2.208697e-06,-5.376332e-10,17.934822;
-2.29224e-06,-4.730338e-10,18.017436;
-2.590663e-06,-6.202651e-10,18.100054000000004;
-1.385059e-06,-5.467199e-10,18.182655;
-1.086628e-06,-3.668046e-10,18.26526;
-2.889072e-06,-5.86941e-10,18.347856000000004;
-7.285416e-07,-4.19253e-10,18.430451;
-1.683482e-06,-3.718764e-10,18.513038;
-1.239075e-05,-1.012539e-09,18.595645;
-3.345776e-07,-1.288381e-09,18.678258000000003;
2.315355e-06,-7.575172e-10,18.760853;
-6.052353e-06,3.357514e-11,18.84344;
-5.909103e-06,-9.37779e-10,18.92605;
4.046226e-06,-3.156944e-10,19.008631;
-1.385022e-06,-3.849956e-10,19.09123;
